countrycode,countryname,adminone,adminlevel,date,datatype,indicator_name,population,prevalence
ZWE,Zimbabwe,Mashonaland Central,subnational,2025-01-12,SURVEY,fcs,568886,0.4107803430017236
ZWE,Zimbabwe,Mashonaland Central,subnational,2025-01-12,SURVEY,rcsi,888066,0.6412533549571772
ZWE,Zimbabwe,Mashonaland East,subnational,2025-01-12,SURVEY,total,1731181,0.4590193254072494
ZWE,Zimbabwe,Mashonaland East,subnational,2025-01-12,SURVEY,fcs,591960,0.3419399820122795
ZWE,Zimbabwe,Mashonaland East,subnational,2025-01-12,SURVEY,rcsi,894127,0.5164838338683245
ZWE,Zimbabwe,Mashonaland West,subnational,2025-01-12,SURVEY,total,1893578,0.4590193254072494
ZWE,Zimbabwe,Mashonaland West,subnational,2025-01-12,SURVEY,fcs,473727,0.2501755935060504
ZWE,Zimbabwe,Mashonaland West,subnational,2025-01-12,SURVEY,rcsi,1103874,0.5829567094674738
ZWE,Zimbabwe,Masvingo,subnational,2025-01-12,SURVEY,total,1638539,0.4590193254072494
ZWE,Zimbabwe,Masvingo,subnational,2025-01-12,SURVEY,fcs,477491,0.2914126548101693
ZWE,Zimbabwe,Masvingo,subnational,2025-01-12,SURVEY,rcsi,1073429,0.6551134882965861
ZWE,Zimbabwe,Matabeleland North,subnational,2025-01-12,SURVEY,total,827626,0.4590193254072494
ZWE,Zimbabwe,Matabeleland North,subnational,2025-01-12,SURVEY,fcs,334048,0.4036219258457322
ZWE,Zimbabwe,Matabeleland North,subnational,2025-01-12,SURVEY,rcsi,531382,0.6420557111545553
ZWE,Zimbabwe,Matabeleland South,subnational,2025-01-12,SURVEY,total,760345,0.4590193254072494
ZWE,Zimbabwe,Matabeleland South,subnational,2025-01-12,SURVEY,fcs,274663,0.3612347026678679
ZWE,Zimbabwe,Matabeleland South,subnational,2025-01-12,SURVEY,rcsi,334844,0.4403842992325852
ZWE,Zimbabwe,Midlands,subnational,2025-01-12,SURVEY,total,1811908,0.4590193254072494
